date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,r,duration,r_sum
2024-03-20,19.03.2024,bax,,LONG,42.02,41.3,43.33,0.7,42.02,41.3,SL,-1.0,4.0,3.3
2024-03-20,19.03.2024,meds,,LONG,20.87,13.39,35.77,7.5,20.87,13.39,SL,-1.0,3.0,2.3
2024-03-20,19.03.2024,tmo,,LONG,584.83,575.8,601.15,9.0,,,,,,
2024-03-20,19.03.2024,apg,,LONG,38.19,37.46,39.54,0.7,38.19,38.38,TE,0.3,5.0,2.5
2024-03-20,19.03.2024,wdc,,LONG,60.32,58.61,63.55,1.7,60.32,63.55,TP,1.9,1.0,4.4
2024-03-21,20.03.2024,cldx,,LONG,42.37,40.39,46.2,2.0,42.71,41.79,TE,-0.5,5.0,4.0
2024-03-21,20.03.2024,rvmd,,LONG,31.29,29.95,33.89,1.3,31.7,29.95,SL,-1.3,3.0,2.7
2024-03-22,21.03.2024,ba,,SHORT,187.36,192.46,177.72,5.1,,,,,,
2024-03-22,21.03.2024,lsxmk,,LONG,29.15,28.59,30.18,0.6,,,,,,
2024-03-22,21.03.2024,kdp,,SHORT,29.51,29.95,28.73,0.4,,,,,,
2024-03-22,21.03.2024,czr,,SHORT,41.52,42.78,39.13,1.3,41.52,42.78,SL,-1.0,2.0,1.7
2024-03-22,21.03.2024,cwan,,SHORT,16.98,17.41,16.17,0.4,,,,,,
2024-03-25,22.03.2024,bg,,SHORT,98.45,100.34,94.97,1.9,,,,,,
2024-03-25,22.03.2024,cldx,,LONG,42.33,40.45,45.96,1.9,42.33,,-,-0.2,4.0,1.5
2024-03-25,22.03.2024,cnk,,LONG,18.07,17.55,19.04,0.5,18.07,,-,-0.2,4.0,1.3
2024-03-25,22.03.2024,dan,,SHORT,12.18,12.53,11.53,0.3,,,,,,
2024-03-25,22.03.2024,fl,,SHORT,23.92,24.74,22.34,0.8,,,,,,
2024-03-25,22.03.2024,ups,,SHORT,155.87,158.52,151.04,2.7,155.45,,-,2.6,4.0,3.8
2024-03-25,22.03.2024,gxo,,SHORT,50.61,51.54,48.9,0.9,50.49,,-,-3.5,4.0,0.3
2024-03-25,22.03.2024,run,,SHORT,11.17,12.0,9.57,0.8,11.17,,-,-2.4,4.0,-2.1
2024-03-25,22.03.2024,fibk,,SHORT,26.12,26.81,24.84,0.7,,,,,,
2024-03-25,22.03.2024,pd,,SHORT,22.33,23.3,20.46,1.0,22.3,,-,-0.4,4.0,-2.5
2024-03-25,22.03.2024,vyx,,SHORT,12.97,13.43,12.11,0.5,12.97,,-,0.7,4.0,-1.7
2024-03-25,22.03.2024,vsco,,SHORT,19.7,20.5,18.15,0.8,19.7,,-,0.4,4.0,-1.3
2024-03-25,22.03.2024,smar,,SHORT,39.13,40.64,36.24,1.5,39.07,,-,0.4,4.0,-1.0
2024-03-25,22.03.2024,whr,,SHORT,110.62,113.13,105.92,2.5,,,,,,
2024-03-25,22.03.2024,au,,LONG,21.31,20.39,23.09,0.9,21.31,,-,1.0,4.0,-0.0
2024-03-25,22.03.2024,u,,SHORT,26.92,27.86,25.13,0.9,26.92,,-,0.2,4.0,0.2
2024-03-26,25.03.2024,tmus,,LONG,161.53,159.62,164.86,1.9,161.53,,-,0.9,3.0,1.1
2024-03-26,25.03.2024,mo,,LONG,43.61,42.86,44.99,0.8,,,,,,
2024-03-26,25.03.2024,cwan,,SHORT,17.0,17.43,16.19,0.4,17.0,,-,-1.6,3.0,-0.5
2024-03-26,25.03.2024,bwa,,SHORT,32.98,33.61,31.8,0.6,32.98,,-,-2.8,3.0,-3.3
2024-03-26,25.03.2024,bdx,,SHORT,240.31,244.28,233.1,4.0,,,,,,
2024-03-26,25.03.2024,ba,,SHORT,189.31,194.28,179.94,5.0,189.31,,-,-0.7,3.0,-4.0
2024-03-27,26.03.2024,whr,,SHORT,112.09,114.87,106.85,2.8,,,,,,
2024-03-27,26.03.2024,bdx,,SHORT,240.35,244.32,233.14,4.0,,,,,,
2024-03-27,26.03.2024,urbn,,LONG,42.64,41.46,44.89,1.2,42.91,,-,0.4,2.0,-3.6
2024-03-27,26.03.2024,flnc,,SHORT,15.73,16.49,14.27,0.8,15.73,,-,-2.1,2.0,-5.7
2024-03-27,26.03.2024,dvax,,SHORT,12.33,12.66,11.74,0.3,,,,,,
2024-03-27,26.03.2024,tsla,,SHORT,177.2,184.35,163.43,7.2,177.2,,-,0.2,2.0,-5.5
2024-03-27,26.03.2024,dan,,SHORT,12.22,12.56,11.59,0.3,,,,,,
2024-03-27,26.03.2024,bg,,SHORT,98.83,100.64,95.51,1.8,,,,,,
2024-03-28,27.03.2024,gct,Software—Infrastructure,LONG,26.87,22.54,35.44,4.3,28.0,,-,-0.3,1.0,-5.8
2024-03-28,27.03.2024,spir,Specialty Business Services,LONG,12.51,10.41,16.65,2.1,,,,,,
2024-03-29,28.03.2024,vsh,Semiconductors,SHORT,22.48,23.03,21.44,0.6,,,,,,
2024-03-29,28.03.2024,bery,Packaging & Containers,SHORT,60.35,61.27,58.68,0.9,,,,,,
2024-03-29,28.03.2024,dan,Auto Parts,SHORT,12.64,12.96,12.07,0.3,,,,,,
2024-03-29,28.03.2024,kdp,Beverages—Non-Alcoholic,SHORT,30.58,31.08,29.67,0.5,,,,,,
2024-03-29,28.03.2024,kvue,Household & Personal Products,SHORT,21.34,21.72,20.64,0.4,,,,,,
2024-03-29,28.03.2024,mp,Other Industrial Metals & Mining,SHORT,14.13,14.77,12.91,0.6,,,,,,
2024-03-29,28.03.2024,orcl,Software—Infrastructure,LONG,126.3,124.05,130.42,2.2,,,,,,
2024-03-29,28.03.2024,penn,Resorts & Casinos,SHORT,18.16,18.79,16.96,0.6,,,,,,
2024-03-29,28.03.2024,urbn,Apparel Retail,LONG,43.53,42.46,45.56,1.1,,,,,,
