date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-02-13,2024-02-12,ionq,Computer Hardware,SHORT,11.04,11.61,9.96,0.6,10.73,10.62,TE,5.0,0.2,3.7
2024-02-15,2024-02-14,cort,Biotechnology,SHORT,23.18,24.08,21.44,0.9,,,,,,
2024-02-16,2024-02-15,dnli,Biotechnology,SHORT,18.08,18.96,16.37,0.9,17.78,16.37,TP,1.0,1.6,5.3
2024-02-16,2024-02-15,cort,Biotechnology,SHORT,24.18,25.03,22.54,0.9,24.18,22.54,TP,2.0,1.9,7.2
2024-02-20,2024-02-16,bowl,Leisure,LONG,13.54,12.58,15.41,1.0,,,,,,
2024-02-20,2024-02-16,net,Software - Infrastructure,LONG,101.9,95.34,114.72,6.6,,,,,,
2024-02-21,2024-02-20,rblx,Electronic Gaming & Multimedia,LONG,43.01,40.99,46.93,2.0,,,,,,
2024-02-21,2024-02-20,path,Software - Infrastructure,LONG,24.62,23.29,27.23,1.3,,,,,,
2024-02-21,2024-02-20,mdb,Software - Infrastructure,LONG,460.21,439.18,500.98,21.0,,,,,,
2024-02-22,2024-02-21,path,Software - Infrastructure,LONG,23.38,22.0,26.08,1.4,23.77,23.36,TE,5.0,-0.3,6.9
2024-02-22,2024-02-21,mdb,Software - Infrastructure,LONG,438.15,417.18,478.82,21.0,443.94,443.45,TE,5.0,-0.0,6.9
2024-02-22,2024-02-21,kalv,Biotechnology,LONG,13.91,12.79,16.09,1.1,,,,,,
2024-02-22,2024-02-21,afrm,Software - Infrastructure,LONG,37.3,34.06,43.65,3.2,37.8,37.5,TE,5.0,-0.1,6.8
2024-02-23,2024-02-22,kalv,Biotechnology,LONG,13.18,12.06,15.36,1.1,,,,,,
2024-02-23,2024-02-22,afrm,Software - Infrastructure,LONG,38.82,35.59,45.15,3.2,,,,,,
2024-02-23,2024-02-22,path,Software - Infrastructure,LONG,23.98,22.56,26.75,1.4,,,,,,
2024-02-23,2024-02-22,bowl,Leisure,LONG,12.97,12.24,14.37,0.7,,,,,,
2024-02-26,2024-02-23,path,Software - Infrastructure,LONG,23.89,22.56,26.48,1.3,23.89,23.63,TE,5.0,-0.2,6.6
2024-02-26,2024-02-23,riot,Capital Markets,LONG,15.33,13.91,18.12,1.4,15.33,18.12,TP,1.0,2.0,8.6
2024-02-26,2024-02-23,wal,Banks—Regional,LONG,59.08,56.82,63.41,2.3,59.08,56.82,SL,4.0,-1.0,7.6
2024-02-26,2024-02-23,zion,Banks—Regional,LONG,39.76,38.55,42.06,1.2,,,,,,
2024-02-26,2024-02-23,bowl,Leisure,LONG,12.57,11.9,13.85,0.7,12.57,13.19,TE,5.0,0.9,8.5
2024-02-27,2024-02-26,dkng,Gambling,LONG,41.38,39.42,45.17,2.0,41.38,45.17,TP,4.0,1.9,10.4
2024-02-27,2024-02-26,docs,Health Information Services,LONG,28.49,27.24,30.89,1.2,28.49,28.63,TE,5.0,0.1,10.6
2024-02-27,2024-02-26,wal,Banks—Regional,LONG,59.45,57.3,63.57,2.2,59.45,57.3,SL,1.0,-1.0,9.6
2024-03-06,2024-03-05,verv,Biotechnology,LONG,16.07,14.74,18.66,1.3,,,,,,
2024-03-07,2024-03-06,beam,Biotechnology,LONG,40.12,36.64,46.96,3.5,,,,,,
2024-03-07,2024-03-06,rxrx,Biotechnology,LONG,12.15,10.78,14.83,1.4,,,,,,
2024-03-08,2024-03-07,ai,Software - Application,LONG,33.03,30.4,38.2,2.6,33.03,30.4,SL,2.0,-1.0,8.6
2024-03-08,2024-03-07,verv,Biotechnology,LONG,15.83,14.47,18.49,1.4,15.83,14.47,SL,1.0,-1.0,7.6
2024-03-08,2024-03-07,beam,Biotechnology,LONG,39.18,35.72,45.98,3.5,,,,,,
2024-03-11,2024-03-08,cc,Specialty Chemicals,SHORT,25.29,27.65,20.66,2.4,,,,,,
2024-03-11,2024-03-08,verv,Biotechnology,LONG,16.05,14.6,18.89,1.5,,,,,,
2024-03-12,2024-03-11,ai,Software - Application,LONG,32.22,29.59,37.39,2.6,,,,,,
2024-03-12,2024-03-11,mod,Auto Parts,LONG,83.52,79.25,91.83,4.3,83.52,89.47,TE,5.0,1.4,9.0
2024-03-12,2024-03-11,mrvl,Semiconductors,LONG,74.12,70.19,81.77,3.9,,,,,,
2024-03-13,2024-03-12,rgnx,Biotechnology,LONG,23.35,20.81,28.37,2.5,,,,,,
2024-03-13,2024-03-12,mrvl,Semiconductors,LONG,73.33,69.45,80.87,3.9,,,,,,
2024-03-13,2024-03-12,eypt,Biotechnology,LONG,23.88,22.2,27.19,1.7,,,,,,
2024-03-13,2024-03-12,cldx,Biotechnology,LONG,47.09,44.41,52.3,2.7,47.09,44.41,SL,1.0,-1.0,8.0
2024-03-13,2024-03-12,iova,Biotechnology,LONG,15.31,14.07,17.74,1.2,,,,,,
2024-03-14,2024-03-13,amd,Semiconductors,LONG,199.02,189.15,218.2,9.9,,,,,,
2024-03-14,2024-03-13,mod,Auto Parts,LONG,85.58,81.44,93.62,4.1,85.58,93.62,TP,3.0,1.9,9.9
2024-03-14,2024-03-13,apls,Biotechnology,LONG,59.6,56.5,65.62,3.1,,,,,,
2024-03-14,2024-03-13,cldx,Biotechnology,LONG,47.55,44.86,52.77,2.7,,,,,,
2024-03-14,2024-03-13,spr,Aerospace & Defense,LONG,32.38,30.6,35.86,1.8,,,,,,
2024-03-14,2024-03-13,eypt,Biotechnology,LONG,23.12,21.47,26.36,1.7,,,,,,
2024-03-15,2024-03-14,cldx,Biotechnology,LONG,45.09,42.53,50.09,2.6,,,,,,
2024-03-15,2024-03-14,spr,Aerospace & Defense,LONG,31.69,29.92,35.13,1.8,31.69,35.13,TP,3.0,1.9,11.8
2024-03-15,2024-03-14,pltr,Software - Infrastructure,LONG,24.99,23.73,27.45,1.3,,,,,,
2024-03-15,2024-03-14,rgnx,Biotechnology,LONG,22.53,20.25,27.03,2.3,22.53,22.5,TE,5.0,-0.0,11.8
2024-03-15,2024-03-14,cohr,Scientific & Technical Instruments,LONG,61.55,58.76,66.94,2.8,,,,,,
2024-03-15,2024-03-14,viav,Communication Equipment,LONG,10.17,9.77,10.91,0.4,,,,,,
